build_id,as_of_date,month_start,delivery_status,orders,avg_review_score,avg_delivery_delay_days,reviewed_orders,coverage_status
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2018-08-01,ON_TIME,5691,4.3971649938369435,-9.413986997012827,5679,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2017-07-01,ON_TIME,3728,4.325319647037637,-13.237124463519313,3702,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2017-11-01,ON_TIME,6245,4.247464992757122,-11.09831865492394,6213,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2018-01-01,ON_TIME,6605,4.237801158889906,-14.56790310370931,6558,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2018-02-01,LATE,1048,2.1561895551257253,11.113549618320612,1034,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2018-05-01,ON_TIME,6193,4.339598185353208,-13.793637978362668,6172,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2017-02-01,ON_TIME,1598,4.258934169278997,-20.463704630788484,1595,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2017-10-01,ON_TIME,4241,4.278278396964667,-12.99693468521575,4217,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2017-05-01,ON_TIME,3416,4.285125184094256,-14.390515222482435,3395,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2018-06-01,ON_TIME,6013,4.331607947904492,-19.667387327457178,5989,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2017-12-01,ON_TIME,5051,4.249700598802395,-14.990496931300733,5010,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2017-09-01,LATE,216,2.81042654028436,7.902777777777778,211,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2017-08-01,ON_TIME,4052,4.362608695652174,-13.807749259624877,4025,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2018-04-01,ON_TIME,6437,4.30096859865646,-14.112474755320802,6401,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2018-03-01,LATE,1496,2.2795625427204373,8.891711229946525,1463,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2017-06-01,ON_TIME,3013,4.284090909090909,-13.600066379024229,2992,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2017-03-01,ON_TIME,2403,4.278382907415166,-14.28214731585518,2387,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2018-07-01,LATE,276,3.1240601503759398,6.3478260869565215,266,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2016-10-01,ON_TIME,258,4.03125,-37.13178294573643,256,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2017-04-01,LATE,181,2.725988700564972,10.292817679558011,177,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2018-07-01,ON_TIME,5880,4.37200956937799,-12.276530612244898,5852,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2018-03-01,ON_TIME,5507,4.222333637192342,-10.589250045396767,5485,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2017-03-01,LATE,142,2.647482014388489,20.774647887323944,139,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2017-09-01,ON_TIME,3934,4.346173534681341,-12.405185561769192,3907,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2017-04-01,ON_TIME,2122,4.25579744439186,-14.95617342130066,2113,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2017-05-01,LATE,128,2.9173553719008263,10.3828125,121,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2017-12-01,LATE,462,2.3104212860310422,8.66017316017316,451,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2018-04-01,LATE,361,2.4786324786324787,8.81163434903047,351,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2017-10-01,LATE,237,2.8602620087336246,7.286919831223629,229,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2017-08-01,LATE,139,2.86231884057971,7.712230215827338,138,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2017-06-01,LATE,121,2.6991525423728815,11.198347107438016,118,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2018-06-01,LATE,83,2.5542168674698793,11.421686746987952,83,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2018-02-01,ON_TIME,5507,4.207716669711919,-11.98347557653895,5473,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2017-01-01,ON_TIME,726,4.2694986072423395,-28.84297520661157,718,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2017-11-01,LATE,1043,2.4189453125,9.688398849472675,1024,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2018-05-01,LATE,556,3.076363636363636,5.660071942446043,550,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2018-08-01,LATE,660,3.552995391705069,2.631818181818182,651,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2018-01-01,LATE,464,2.2483516483516484,10.318965517241379,455,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2017-02-01,LATE,53,2.3043478260869565,19.22641509433962,46,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,2017-07-01,LATE,133,2.4689922480620154,9.488721804511279,129,PUBLISHABLE
