build_id,as_of_date,segmentation_version,segment_dimension,segment_label,customers,merchandise_gmv_brl,units,avg_delivered_orders,avg_distinct_categories,gmv_share,coverage_status
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,CUSTOMER_VALUE_VOLUME_BREADTH_V1,VALUE,A_HIGH_VALUE,42747,10650288.76,55302.0,1.059395981004515,1.0293587854118418,0.8055281384448195,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,CUSTOMER_VALUE_VOLUME_BREADTH_V1,VALUE,C_LOW_VALUE,22952,660916.76,24100.0,1.0043569187870338,0.9867549668874173,0.049988038760911645,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,CUSTOMER_VALUE_VOLUME_BREADTH_V1,VALUE,B_MEDIUM_VALUE,27659,1910292.59,30795.0,1.0173903611844246,1.002675440182219,0.14448382279426883,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,CUSTOMER_VALUE_VOLUME_BREADTH_V1,UNITS,TWO_TO_THREE,10443,2047527.99,22532.0,1.247246959685914,1.1793545915924544,0.15486353913641335,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,CUSTOMER_VALUE_VOLUME_BREADTH_V1,UNITS,FOUR_PLUS,1167,475595.91,5917.0,1.4610111396743788,1.2836332476435304,0.03597140853806014,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,CUSTOMER_VALUE_VOLUME_BREADTH_V1,UNITS,ONE_ITEM,81748,10698374.21,81748.0,1.0,0.9855776288104908,0.8091650523255266,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,CUSTOMER_VALUE_VOLUME_BREADTH_V1,CATEGORIES,SPECIALIST,89918,12526790.43,103331.0,1.0149691941546743,1.0,0.9474562054753416,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,CUSTOMER_VALUE_VOLUME_BREADTH_V1,CATEGORIES,DIVERSIFIED,122,41069.65,545.0,3.0,3.1721311475409837,0.0031062780978607274,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,CUSTOMER_VALUE_VOLUME_BREADTH_V1,CATEGORIES,UNKNOWN,1279,165372.09,1414.0,1.0039093041438625,0.0,0.012507817845159456,PUBLISHABLE
4877d616-bad1-48d6-bffb-17005001d164,2018-10-17,CUSTOMER_VALUE_VOLUME_BREADTH_V1,CATEGORIES,MIXED,2039,488265.94,4907.0,1.7479156449239823,2.0,0.03692969858163827,PUBLISHABLE
